RK;Player;Team;W;L;ERA?;G;GS;SV;SVO;IP;H;R;ER;HR;BB;SO;AVG;WHIP
51; Kennedy, I;SD;13;13;mar.63;33;33;0;0;201.0;189;85;81;16;70;207;.250;jan.29
52; Garza, M;MIL;8;8;mar.64;27;27;0;0;163.1;143;77;66;12;50;126;.233;jan.18
53; Norris, B;BAL;15;8;mar.65;28;28;0;0;165.1;149;68;67;20;52;139;.242;jan.22
54; Young, C;SEA;12;9;mar.65;30;29;0;0;165.0;143;70;67;26;60;108;.234;jan.23
55; Cosart, J;MIA;13;11;mar.69;30;30;0;0;180.1;173;80;74;9;73;115;.255;jan.36
56; Leake, M;CIN;11;13;mar.70;33;33;0;0;214.1;217;93;88;23;50;164;.263;jan.25
57; Vargas, J;KC;11;10;mar.71;30;30;0;0;187.0;197;82;77;19;41;128;.267;jan.27
58; Kuroda, H;NYY;11;9;mar.71;32;32;0;0;199.0;191;91;82;20;35;146;.249;jan.14
59; Dickey, R;TOR;14;13;mar.71;34;34;0;0;215.2;191;101;89;26;74;173;.233;jan.23
60; Peavy, J;SF;7;13;mar.73;32;32;0;0;202.2;196;91;84;23;63;158;.258;jan.28
61; Miller, S;STL;10;9;mar.74;32;31;0;0;183.0;160;78;76;22;73;127;.236;jan.27
62; Feldman, S;HOU;8;12;mar.74;29;29;0;0;180.1;185;86;75;16;50;107;.266;jan.30
63; Koehler, T;MIA;10;10;mar.81;32;32;0;0;191.1;177;84;81;16;71;153;.248;jan.30
64; Lackey, J;STL;14;10;mar.82;31;31;0;0;198.0;206;94;84;24;47;164;.265;jan.28
65; Elias, R;SEA;10;12;mar.85;29;29;0;0;163.2;151;77;70;16;64;143;.248;jan.31
66; Santana, E;ATL;14;10;mar.95;31;31;0;0;196.0;193;90;86;16;63;179;.266;jan.31
67; Vogelsong, R;SF;8;13;4.00;32;32;0;0;184.2;178;86;82;18;58;151;.254;jan.28
68; Haren, D;LAD;13;11;4.feb;32;32;0;0;186.0;183;101;83;27;36;145;.252;jan.18
69; McCarthy, B;NYY;10;15;4.maj;32;32;0;0;200.0;222;100;90;25;33;175;.280;jan.28
70; Colon, B;NYM;15;13;4.sep;31;31;0;0;202.1;218;97;92;22;30;151;.273;jan.23
71; Hernandez, R;LAD;8;11;4.okt;32;29;0;1;164.2;156;84;75;19;73;105;.250;jan.39
72; De La Rosa, J;COL;14;11;4.okt;32;32;0;0;184.1;161;90;84;21;67;139;.238;jan.24
73; Odorizzi, J;TB;11;13;apr.13;31;31;0;0;168.0;156;79;77;20;59;174;.242;jan.28
74; Guthrie, J;KC;13;11;apr.13;32;32;0;0;202.2;215;100;93;23;49;124;.272;jan.30
75; Stults, E;SD;8;17;apr.30;32;32;0;0;176.0;197;93;84;26;45;111;.283;jan.38
76; Miley, W;ARI;8;12;apr.34;33;33;0;0;201.1;207;103;97;23;75;183;.269;jan.40
77; Eovaldi, N;MIA;6;14;apr.37;33;33;0;0;199.2;223;107;97;14;43;142;.282;jan.33
78; Gibson, K;MIN;13;12;apr.47;31;31;0;0;179.1;178;91;89;12;57;107;.258;jan.31
79; Hutchison, D;TOR;11;13;apr.48;32;32;0;0;184.2;173;92;92;23;60;184;.245;jan.26
80; Wilson, C;LAA;13;10;apr.51;31;31;0;0;175.2;169;95;88;17;85;151;.258;jan.45
81; Verlander, J;DET;15;12;apr.54;32;32;0;0;206.0;223;114;104;18;65;159;.275;jan.40
82; Burnett, A;PHI;8;18;apr.59;34;34;0;0;213.2;205;122;109;20;96;190;.256;jan.41
83; Kendrick, K;PHI;10;13;apr.61;32;32;0;0;199.0;214;108;102;25;57;121;.276;jan.36
84; Danks, J;CWS;11;11;apr.74;32;32;0;0;193.2;205;106;102;25;74;129;.269;jan.44
85; Noesi, H;CWS;8;12;apr.75;33;27;0;0;172.1;180;98;91;28;56;123;.271;jan.37
86; Wood, T;CHC;8;13;5.mar;31;31;0;0;173.2;190;110;97;20;76;146;.277;jan.53
87; Lewis, C;TEX;10;14;maj.18;29;29;0;0;170.1;211;107;98;25;48;133;.304;jan.52
88; Buchholz, C;BOS;8;11;maj.34;28;28;0;0;170.1;182;108;101;17;54;132;.273;jan.39
