Players;GP;MIN;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;PTS;+/-
Alex Len;42;8.6;0.8;1.9;42.3;0.0;0.0;0.0;0.5;0.7;64.5;0.9;1.4;2.4;0.1;0.6;0.1;0.4;1.6;2.0;-1.3
Archie Goodwin;52;10.2;1.5;3.2;45.5;0.1;0.7;13.9;0.7;1.1;67.3;0.5;1.2;1.7;0.4;0.8;0.4;0.2;0.9;3.7;-1.7
Channing Frye;82;28.2;4.1;9.5;43.2;2.0;5.3;37.0;1.0;1.2;82.1;0.9;4.2;5.1;1.2;1.1;0.7;0.8;3.0;11.1;3.6
Dionte Christmas;31;6.4;0.7;2.0;35.5;0.3;1.0;29.0;0.6;0.8;75.0;0.4;0.8;1.2;0.3;0.2;0.1;0.1;0.6;2.3;-0.7
Eric Bledsoe;43;32.9;6.2;12.9;47.7;1.2;3.3;35.7;4.3;5.5;77.2;0.6;4.1;4.7;5.5;3.3;1.6;0.3;2.3;17.7;3.2
Gerald Green;82;28.4;5.5;12.3;44.5;2.5;6.2;40.0;2.4;2.8;84.8;0.6;2.8;3.4;1.5;1.8;0.9;0.5;2.7;15.8;0.5
Goran Dragic;76;35.1;7.3;14.4;50.5;1.6;3.9;40.8;4.2;5.5;76.0;0.9;2.3;3.2;5.9;2.8;1.4;0.3;2.7;20.3;4.0
Ish Smith;70;14.4;1.7;4.0;42.3;0.0;0.3;4.3;0.3;0.6;56.4;0.4;1.4;1.8;2.6;0.9;0.7;0.2;0.9;3.7;-0.2
Leandro Barbosa;20;18.4;2.8;6.6;42.7;0.4;1.3;28.0;1.6;2.0;79.5;0.3;1.6;1.9;1.6;1.0;0.4;0.2;1.5;7.5;2.6
Marcus Morris;82;21.9;3.5;7.9;44.2;1.2;3.2;38.1;1.5;1.9;76.1;1.0;2.9;3.9;1.1;1.2;0.9;0.2;1.9;9.7;1.5
Markieff Morris;81;26.6;5.1;10.4;48.6;0.4;1.3;31.5;3.2;4.0;79.2;1.7;4.3;6.0;1.8;1.8;0.8;0.6;2.9;13.8;1.7
Miles Plumlee;80;24.5;3.6;6.9;51.7;0.0;0.0;0.0;0.9;1.7;56.1;2.5;5.4;7.8;0.5;1.4;0.6;1.1;2.3;8.1;0.6
PJ Tucker;81;30.7;3.3;7.6;43.1;0.9;2.4;38.7;1.9;2.5;77.6;2.0;4.5;6.5;1.7;1.3;1.4;0.3;2.5;9.4;1.6
Shavlik Randolph;14;6.8;0.5;1.0;50.0;0.0;0.0;0.0;0.4;0.8;54.5;0.5;1.3;1.8;0.1;0.4;0.2;0.1;1.1;1.4;3.0
Viacheslav Kravtsov;20;3.0;0.4;0.8;53.3;0.0;0.0;0.0;0.2;0.4;50.0;0.5;0.4;0.9;0.1;0.3;0.0;0.1;0.4;1.0;-2.2
