2013-14 SALARY;2013-14 CAP HIT
Brooklyn Nets;102.608995
New York Knicks;89.184072
Miami Heat;84.329619
Chicago Bulls;82.024422
Los Angeles Lakers;79.363984
Los Angeles Clippers;73.942733
Oklahoma City Thunder;71.781364
Boston Celtics;71.484789
Washington Wizards;70.944938
Toronto Raptors;70.928519
Indiana Pacers;70.436491
Minnesota Timberwolves;68.495356
Memphis Grizzlies;67.866967
Golden State Warriors;67.827154
Dallas Mavericks;67.731565
Denver Nuggets;67.324401
Houston Rockets;65.086494
San Antonio Spurs;64.363059
New Orleans Pelicans;64.012381
Portland Trail Blazers;63.214586
Detroit Pistons;61.897253
Orlando Magic;61.776433
Charlotte Bobcats;61.309242
Cleveland Cavaliers;61.089456
Sacramento Kings;60.026869
Phoenix Suns;58.512913
Atlanta Hawks;57.359097
Utah Jazz;56.818345
Milwaukee Bucks;51.175131
Philadelphia 76ers;47.119495
